Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,Fort_Category
FORT1,Red Fort,Historic Fort,Delhi,28.6562,77.2410,"Red Fort - UNESCO World Heritage Site. Historic fort built by Mughal Emperor Shah Jahan. Located in Old Delhi, Delhi.",https://en.wikipedia.org/wiki/Red_Fort,India,Mughal Fort
FORT2,Agra Fort,Historic Fort,Uttar Pradesh,27.1792,78.0211,"Agra Fort - UNESCO World Heritage Site. Historic fort built by Mughal emperors. Located in Agra, Uttar Pradesh.",https://en.wikipedia.org/wiki/Agra_Fort,India,Mughal Fort
FORT3,Mehrangarh Fort,Historic Fort,Rajasthan,26.2940,73.0190,"Mehrangarh Fort - One of the largest forts in India. Built by Rao Jodha in 1459. Located in Jodhpur, Rajasthan.",https://en.wikipedia.org/wiki/Mehrangarh,India,Rajasthani Fort
FORT4,Chittorgarh Fort,Historic Fort,Rajasthan,24.8867,74.6472,"Chittorgarh Fort - UNESCO World Heritage Site. Largest fort in India. Located in Chittorgarh, Rajasthan.",https://en.wikipedia.org/wiki/Chittor_Fort,India,Rajasthani Fort
FORT5,Amber Fort,Historic Fort,Rajasthan,27.1733,75.8511,"Amber Fort - UNESCO World Heritage Site. Historic fort and palace complex. Located in Amer, near Jaipur, Rajasthan.",https://en.wikipedia.org/wiki/Amber_Fort,India,Rajasthani Fort
FORT6,Jaisalmer Fort,Historic Fort,Rajasthan,26.9124,70.9129,"Jaisalmer Fort - UNESCO World Heritage Site. One of the largest fully preserved fortified cities. Located in Jaisalmer, Rajasthan.",https://en.wikipedia.org/wiki/Jaisalmer_Fort,India,Rajasthani Fort
FORT7,Gwalior Fort,Historic Fort,Madhya Pradesh,26.2306,78.1681,"Gwalior Fort - Historic fort known as the ""Pearl of India"". Located in Gwalior, Madhya Pradesh.",https://en.wikipedia.org/wiki/Gwalior_Fort,India,Historic Fort
FORT8,Golconda Fort,Historic Fort,Telangana,17.3833,78.4000,"Golconda Fort - Historic fort known for its diamond mines. Located in Hyderabad, Telangana.",https://en.wikipedia.org/wiki/Golconda,India,Historic Fort
FORT9,Raigad Fort,Historic Fort,Maharashtra,18.2333,73.4500,"Raigad Fort - Capital fort of the Maratha Empire under Shivaji. Located in Raigad district, Maharashtra.",https://en.wikipedia.org/wiki/Raigad_Fort,India,Maratha Fort
FORT10,Sinhagad Fort,Historic Fort,Maharashtra,18.3667,73.7500,"Sinhagad Fort - Historic fort with great significance in Maratha history. Located near Pune, Maharashtra.",https://en.wikipedia.org/wiki/Sinhagad,India,Maratha Fort
FORT11,Lohagarh Fort,Historic Fort,Rajasthan,27.2167,77.5000,"Lohagarh Fort - Iron Fort, known for never being conquered. Located in Bharatpur, Rajasthan.",https://en.wikipedia.org/wiki/Lohagarh_Fort,India,Rajasthani Fort
FORT12,Kumbhalgarh Fort,Historic Fort,Rajasthan,25.1475,73.5831,"Kumbhalgarh Fort - UNESCO World Heritage Site. Birthplace of Maharana Pratap. Located in Rajsamand district, Rajasthan.",https://en.wikipedia.org/wiki/Kumbhalgarh,India,Rajasthani Fort
FORT13,Ranthambore Fort,Historic Fort,Rajasthan,26.0167,76.5000,"Ranthambore Fort - UNESCO World Heritage Site. Historic fort within Ranthambore National Park. Located in Sawai Madhopur, Rajasthan.",https://en.wikipedia.org/wiki/Ranthambore_Fort,India,Rajasthani Fort
