Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,Jyotirlinga_Number
SOM,Somnath Temple,Jyotirlinga Temple,Gujarat,20.8883,70.4011,"Somnath Temple - First of the 12 Jyotirlinga temples. Located in Prabhas Patan, Gujarat. One of the oldest and most revered Shiva temples.",https://en.wikipedia.org/wiki/Somnath_temple,India,1
MAL,Mallikarjuna Temple,Jyotirlinga Temple,Andhra Pradesh,16.2400,78.8083,Mallikarjuna Temple (Srisailam) - Second Jyotirlinga. Located on the banks of Krishna River in Andhra Pradesh. Also known as Srisailam.,https://en.wikipedia.org/wiki/Srisailam,India,2
MAH,Mahakaleshwar Temple,Jyotirlinga Temple,Madhya Pradesh,23.1833,75.7667,"Mahakaleshwar Temple - Third Jyotirlinga. Located in Ujjain, Madhya Pradesh. One of the most powerful Jyotirlingas, facing south.",https://en.wikipedia.org/wiki/Mahakaleshwar_Jyotirlinga,India,3
OMK,Omkareshwar Temple,Jyotirlinga Temple,Madhya Pradesh,22.2500,76.1500,"Omkareshwar Temple - Fourth Jyotirlinga. Located on Mandhata island in the Narmada River, Madhya Pradesh. The island is shaped like the sacred ""Om"" symbol.",https://en.wikipedia.org/wiki/Omkareshwar,India,4
KED,Kedarnath Temple,Jyotirlinga Temple,Uttarakhand,30.7353,79.0669,"Kedarnath Temple - Fifth Jyotirlinga. Located in the Garhwal Himalayas, Uttarakhand. Highest of the 12 Jyotirlingas at 3,583 meters.",https://en.wikipedia.org/wiki/Kedarnath_Temple,India,5
BHI,Bhimashankar Temple,Jyotirlinga Temple,Maharashtra,19.0717,73.5350,Bhimashankar Temple - Sixth Jyotirlinga. Located in the Sahyadri hills of Maharashtra. Surrounded by dense forests and wildlife.,https://en.wikipedia.org/wiki/Bhimashankar_Temple,India,6
KAS,Kashi Vishwanath Temple,Jyotirlinga Temple,Uttar Pradesh,25.3111,83.0100,"Kashi Vishwanath Temple - Seventh Jyotirlinga. Located in Varanasi (Kashi), Uttar Pradesh. One of the holiest temples in Hinduism.",https://en.wikipedia.org/wiki/Kashi_Vishwanath_Temple,India,7
TRI,Trimbakeshwar Temple,Jyotirlinga Temple,Maharashtra,19.9333,73.5500,"Trimbakeshwar Temple - Eighth Jyotirlinga. Located near Nashik, Maharashtra. Source of the Godavari River.",https://en.wikipedia.org/wiki/Trimbakeshwar_Shiva_Temple,India,8
VAI,Vaidyanath Temple,Jyotirlinga Temple,Jharkhand,24.0167,86.8500,"Vaidyanath Temple (Baidyanath Dham) - Ninth Jyotirlinga. Located in Deoghar, Jharkhand. Also known as Baidyanath Dham.",https://en.wikipedia.org/wiki/Baidyanath_Temple,India,9
NAG,Nageshwar Temple,Jyotirlinga Temple,Gujarat,22.1667,69.1167,"Nageshwar Temple - Tenth Jyotirlinga. Located near Dwarka, Gujarat. Also known as Aundha Nagnath or Jageshwar.",https://en.wikipedia.org/wiki/Nageshvara_Jyotirlinga,India,10
RAM,Ramanathaswamy Temple,Jyotirlinga Temple,Tamil Nadu,9.2881,79.3172,"Ramanathaswamy Temple - Eleventh Jyotirlinga. Located in Rameswaram, Tamil Nadu. One of the Char Dham pilgrimage sites.",https://en.wikipedia.org/wiki/Ramanathaswamy_Temple,India,11
GRI,Grishneshwar Temple,Jyotirlinga Temple,Maharashtra,20.0167,75.1833,"Grishneshwar Temple - Twelfth Jyotirlinga. Located near Ellora, Maharashtra. Also known as Ghushmeshwar or Grushneshwar.",https://en.wikipedia.org/wiki/Grishneshwar_Temple,India,12
