Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country
YAL,Yala National Park,National Park,"Southern Province, Uva Province",6.3667,81.4167,Yala National Park - Most visited national park in Sri Lanka. Home to leopards and elephants.,https://en.wikipedia.org/wiki/Yala_National_Park,Sri Lanka
WIL,Wilpattu National Park,National Park,"North Western Province, Northern Province",8.4500,80.0000,Wilpattu National Park - Largest national park in Sri Lanka. Known for natural lakes.,https://en.wikipedia.org/wiki/Wilpattu_National_Park,Sri Lanka
SIN,Sinharaja Forest Reserve,National Park,"Sabaragamuwa Province, Southern Province",6.4167,80.4167,Sinharaja Forest Reserve - UNESCO World Heritage Site. Last remaining primary rainforest in Sri Lanka.,https://en.wikipedia.org/wiki/Sinharaja_Forest_Reserve,Sri Lanka
UDW,Udawalawe National Park,National Park,"Sabaragamuwa Province, Uva Province",6.4333,80.8833,Udawalawe National Park - Important elephant sanctuary.,https://en.wikipedia.org/wiki/Udawalawe_National_Park,Sri Lanka
MIN,Minneriya National Park,National Park,North Central Province,8.0333,80.9000,"Minneriya National Park - Famous for the ""Gathering"" of elephants.",https://en.wikipedia.org/wiki/Minneriya_National_Park,Sri Lanka
HOR,Horton Plains National Park,National Park,Central Province,6.8000,80.8000,Horton Plains National Park - High-altitude montane grassland and cloud forest.,https://en.wikipedia.org/wiki/Horton_Plains_National_Park,Sri Lanka
BUN,Bundala National Park,National Park,Southern Province,6.1833,81.2167,Bundala National Park - UNESCO Biosphere Reserve. Important bird sanctuary.,https://en.wikipedia.org/wiki/Bundala_National_Park,Sri Lanka
KAU,Kaudulla National Park,National Park,North Central Province,8.1333,80.9000,Kaudulla National Park - Elephant gathering site.,https://en.wikipedia.org/wiki/Kaudulla_National_Park,Sri Lanka
GAL,Gal Oya National Park,National Park,"Eastern Province, Uva Province",7.2167,81.4500,Gal Oya National Park - Home to Senanayake Samudraya reservoir.,https://en.wikipedia.org/wiki/Gal_Oya_National_Park,Sri Lanka
KUM,Kumana National Park,National Park,Eastern Province,6.5167,81.6833,Kumana National Park - Important bird nesting and breeding ground.,https://en.wikipedia.org/wiki/Kumana_National_Park,Sri Lanka
