Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country
CN_GREATWALL,Great Wall of China,Historic Landmark,Beijing,40.4319,116.5704,"The Great Wall of China - Ancient fortification stretching over 13,000 miles. One of the most photographed landmarks in China and the world.",https://whc.unesco.org/en/list/438,China
CN_FORBIDDEN,Forbidden City,Historic Palace,Beijing,39.9163,116.3972,"Forbidden City - Imperial palace complex in Beijing. One of the most photographed historic sites in China.",https://whc.unesco.org/en/list/439,China
CN_TERRACOTTA,Terracotta Army,Historic Site,Shaanxi,34.3853,109.2789,"Terracotta Army - Collection of terracotta sculptures depicting armies of Qin Shi Huang. One of the most photographed archaeological sites in China.",https://whc.unesco.org/en/list/441,China
CN_LIJIANG,Old Town of Lijiang,Historic Town,Yunnan,26.8667,100.2333,"Old Town of Lijiang - Ancient Naxi town with traditional architecture. One of the most photographed historic towns in China.",https://whc.unesco.org/en/list/811,China
CN_ZHANGJIAJIE,Zhangjiajie National Forest Park,Natural Park,Hunan,29.3167,110.4333,"Zhangjiajie National Forest Park - Stunning sandstone pillars and mountains. One of the most photographed natural landscapes in China.",https://www.zhangjiajietourism.com,China
JP_MOUNTFUJI,Mount Fuji,Volcanic Mountain,Shizuoka,35.3606,138.7274,"Mount Fuji - Japan's highest peak and iconic symbol. One of the most photographed mountains in the world.",https://www.fujisan-climb.jp,Japan
JP_FUSHIMI,Fushimi Inari Shrine,Historic Shrine,Kyoto,34.9671,135.7727,"Fushimi Inari Shrine - Famous for thousands of vermillion torii gates. One of the most photographed shrines in Japan.",https://inari.jp,Japan
JP_ARASHIYAMA,Arashiyama Bamboo Grove,Natural Area,Kyoto,35.0094,135.6778,"Arashiyama Bamboo Grove - Stunning bamboo forest path. One of the most photographed natural areas in Japan.",https://www.japan-guide.com/e/e3912.html,Japan
JP_HIMEJI,Himeji Castle,Historic Castle,Hyogo,34.8394,134.6939,"Himeji Castle - Finest surviving example of Japanese castle architecture. One of the most photographed castles in Japan.",https://whc.unesco.org/en/list/661,Japan
KR_GYEONGBOK,Gyeongbokgung Palace,Historic Palace,Seoul,37.5796,126.9770,"Gyeongbokgung Palace - Main royal palace of the Joseon dynasty. One of the most photographed palaces in South Korea.",https://www.royalpalace.go.kr,South Korea
KR_BUKCHON,Bukchon Hanok Village,Historic Village,Seoul,37.5825,126.9850,"Bukchon Hanok Village - Traditional Korean village with hanok houses. One of the most photographed neighborhoods in Seoul.",https://bukchon.seoul.go.kr,South Korea
KR_JEJU,Jeju Island,Volcanic Island,Jeju,33.4996,126.5312,"Jeju Island - Volcanic island with Hallasan Mountain and lava tubes. One of the most photographed destinations in South Korea.",https://www.visitjeju.net,South Korea
TH_WATPHO,Wat Pho Temple,Historic Temple,Bangkok,13.7464,100.4947,"Wat Pho - Temple of the Reclining Buddha. One of the most photographed temples in Thailand.",https://www.watpho.com,Thailand
TH_WATARUN,Wat Arun,Historic Temple,Bangkok,13.7436,100.4889,"Wat Arun - Temple of Dawn on the Chao Phraya River. One of the most photographed temples in Bangkok.",https://www.watarun.net,Thailand
TH_MAYA,Maya Bay,Beach,Krabi,7.6667,98.7667,"Maya Bay - Stunning beach made famous by 'The Beach' movie. One of the most photographed beaches in Thailand.",https://www.tourismthailand.org,Thailand
ID_BOROBUDUR,Borobudur Temple,Historic Temple,Central Java,-7.6081,110.2044,"Borobudur Temple - 9th-century Mahayana Buddhist temple. One of the most photographed temples in Indonesia.",https://whc.unesco.org/en/list/592,Indonesia
ID_BALI,Bali Rice Terraces,Agricultural Landscape,Bali,-8.3405,115.0920,"Tegalalang Rice Terraces - Stunning terraced rice fields. One of the most photographed landscapes in Indonesia.",https://www.balitourismboard.org,Indonesia
ID_KOMODO,Komodo National Park,National Park,East Nusa Tenggara,-8.5500,119.4500,"Komodo National Park - Home to Komodo dragons. One of the most photographed wildlife destinations in Indonesia.",https://whc.unesco.org/en/list/609,Indonesia
VN_HALONG,Halong Bay,Natural Bay,Quang Ninh,20.9101,107.1839,"Halong Bay - Stunning limestone karsts and emerald waters. One of the most photographed natural wonders in Vietnam.",https://whc.unesco.org/en/list/672,Vietnam
VN_HOI,Ancient Town of Hoi An,Historic Town,Quang Nam,15.8801,108.3380,"Hoi An Ancient Town - Well-preserved trading port. One of the most photographed historic towns in Vietnam.",https://whc.unesco.org/en/list/948,Vietnam
KH_ANGKOR,Angkor Wat,Historic Temple,Siem Reap,13.4125,103.8670,"Angkor Wat - Largest religious monument in the world. One of the most photographed temples in Cambodia and the world.",https://whc.unesco.org/en/list/668,Cambodia
