Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,Temple_Category,Element,Planet
BAD,Badrinath Temple,Char Dham Temple,Uttarakhand,30.7444,79.4931,"Badrinath Temple - One of the Char Dham pilgrimage sites. Dedicated to Lord Vishnu. Located in the Garhwal Himalayas, Uttarakhand.",https://en.wikipedia.org/wiki/Badrinath_Temple,India,Char Dham,,
DWA,Dwarkadhish Temple,Char Dham Temple,Gujarat,22.2400,68.9700,"Dwarkadhish Temple - One of the Char Dham pilgrimage sites. Dedicated to Lord Krishna. Located in Dwarka, Gujarat.",https://en.wikipedia.org/wiki/Dwarkadhish_Temple,India,Char Dham,,
JAG,Jagannath Temple,Char Dham Temple,Odisha,19.8056,85.8181,"Jagannath Temple - One of the Char Dham pilgrimage sites. Dedicated to Lord Jagannath. Famous for Rath Yatra. Located in Puri, Odisha.","https://en.wikipedia.org/wiki/Jagannath_Temple,_Puri",India,Char Dham,,
EKA,Ekambareswarar Temple,Pancha Bhoota Stalam,Tamil Nadu,12.8333,79.7000,"Ekambareswarar Temple - Earth element (Prithvi). One of the Pancha Bhoota Stalam. Located in Kanchipuram, Tamil Nadu.",https://en.wikipedia.org/wiki/Ekambareswarar_Temple,India,Pancha Bhoota Stalam,Earth,
JAM,Jambukeswarar Temple,Pancha Bhoota Stalam,Tamil Nadu,10.8500,78.7000,"Jambukeswarar Temple - Water element (Jala). One of the Pancha Bhoota Stalam. Located in Thiruvanaikaval, Tamil Nadu.","https://en.wikipedia.org/wiki/Jambukeswarar_Temple,_Thiruvanaikaval",India,Pancha Bhoota Stalam,Water,
ANN,Annamalaiyar Temple,Pancha Bhoota Stalam,Tamil Nadu,12.6167,79.0667,"Annamalaiyar Temple (Arunachaleswarar) - Fire element (Agni). One of the Pancha Bhoota Stalam. Located in Tiruvannamalai, Tamil Nadu.",https://en.wikipedia.org/wiki/Annamalaiyar_Temple,India,Pancha Bhoota Stalam,Fire,
KAL,Srikalahasti Temple,Pancha Bhoota Stalam,Andhra Pradesh,13.7500,79.7000,"Srikalahasti Temple - Air element (Vayu). One of the Pancha Bhoota Stalam. Located in Srikalahasti, Andhra Pradesh.",https://en.wikipedia.org/wiki/Srikalahasteeswara_Temple,India,Pancha Bhoota Stalam,Air,
NAT,Nataraja Temple,Pancha Bhoota Stalam,Tamil Nadu,11.4000,79.7000,"Nataraja Temple (Chidambaram) - Space element (Akasha). One of the Pancha Bhoota Stalam. Located in Chidambaram, Tamil Nadu.","https://en.wikipedia.org/wiki/Thillai_Nataraja_Temple,_Chidambaram",India,Pancha Bhoota Stalam,Space,
SUR,Suryanar Kovil,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Suryanar Kovil - Sun (Surya) temple. One of the Navagraha temples. Located in Suryanar Kovil, Tamil Nadu.",https://en.wikipedia.org/wiki/Suryanar_Kovil,India,Navagraha,,Sun
CHAN,Chandran Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Chandran Temple - Moon (Chandra) temple. One of the Navagraha temples. Located near Suryanar Kovil, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Moon
ANG,Angarakan Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Angarakan Temple - Mars (Mangal) temple. One of the Navagraha temples. Located in Vaitheeswarankoil, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Mars
BUD,Budhan Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Budhan Temple - Mercury (Budha) temple. One of the Navagraha temples. Located in Thiruvenkadu, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Mercury
GUR,Guru Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Guru Temple - Jupiter (Guru/Brihaspati) temple. One of the Navagraha temples. Located in Alangudi, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Jupiter
SHU,Shukran Temple,Navagraha Temple,Tamil Nadu,11.1333,79.7833,"Shukran Temple - Venus (Shukra) temple. One of the Navagraha temples. Located in Kanjanur, Tamil Nadu.",https://en.wikipedia.org/wiki/Navagraha_temples,India,Navagraha,,Venus
